timestamp,value,country
2012-01-22T00:00:00Z,1.0,TO
2012-02-22T00:00:00Z,1.0,TO
2012-03-22T00:00:00Z,1.0,TO
2012-04-22T00:00:00Z,1.0,TO
2012-05-22T00:00:00Z,1.0,TO
2012-06-22T00:00:00Z,1.0,TO
2012-07-22T00:00:00Z,14.0,TO
2012-08-22T00:00:00Z,14.0,TO
2012-09-22T00:00:00Z,14.0,TO
2012-10-22T00:00:00Z,18.0,TO
2012-11-22T00:00:00Z,18.0,TO
2012-12-22T00:00:00Z,355.0,TO
2013-01-22T00:00:00Z,355.0,TO
2013-02-22T00:00:00Z,355.0,TO
2013-03-22T00:00:00Z,377.0,TO
2013-04-22T00:00:00Z,377.0,TO
2013-05-22T00:00:00Z,373.0,TO
2013-06-22T00:00:00Z,633.0,TO
2013-07-22T00:00:00Z,643.0,TO
2013-08-22T00:00:00Z,643.0,TO
2013-09-22T00:00:00Z,643.0,TO
2013-10-22T00:00:00Z,643.0,TO
2013-11-22T00:00:00Z,643.0,TO
2013-12-22T00:00:00Z,643.0,TO
2014-01-22T00:00:00Z,649.0,TO
2014-02-22T00:00:00Z,649.0,TO
2014-03-22T00:00:00Z,649.0,TO
2014-04-22T00:00:00Z,654.0,TO
2014-05-22T00:00:00Z,654.0,TO
2014-06-22T00:00:00Z,656.0,TO
2014-07-22T00:00:00Z,656.0,TO
2014-08-22T00:00:00Z,656.0,TO
2014-09-22T00:00:00Z,795.0,TO
2014-10-22T00:00:00Z,1971.0,TO
2014-11-22T00:00:00Z,3945.0,TO
2014-12-22T00:00:00Z,6995.0,TO
2015-01-22T00:00:00Z,19253.0,TO
2015-02-22T00:00:00Z,21043.0,TO
2015-03-22T00:00:00Z,21724.0,TO
2015-04-22T00:00:00Z,22846.0,TO
2015-05-22T00:00:00Z,23919.0,TO
2015-06-22T00:00:00Z,25070.0,TO
2015-07-22T00:00:00Z,26280.0,TO
2015-08-22T00:00:00Z,26284.0,TO
2015-09-22T00:00:00Z,26312.0,TO
2015-10-22T00:00:00Z,26373.0,TO
2015-11-22T00:00:00Z,26406.0,TO
2015-12-22T00:00:00Z,26451.0,TO
2016-01-22T00:00:00Z,28343.0,TO
2016-02-22T00:00:00Z,28621.0,TO
2016-03-22T00:00:00Z,28621.0,TO
2016-04-22T00:00:00Z,28623.0,TO
2016-05-22T00:00:00Z,28623.0,TO
2016-06-22T00:00:00Z,28638.0,TO
2016-07-22T00:00:00Z,28638.0,TO
2016-08-22T00:00:00Z,28639.0,TO
2016-09-22T00:00:00Z,28642.0,TO
2016-10-22T00:00:00Z,28642.0,TO
2016-11-22T00:00:00Z,28642.0,TO
2016-12-22T00:00:00Z,28642.0,TO
2017-01-22T00:00:00Z,28642.0,TO
2017-02-22T00:00:00Z,28642.0,TO
2017-03-22T00:00:00Z,28643.0,TO
2017-04-22T00:00:00Z,28642.0,TO
2017-05-22T00:00:00Z,28825.0,TO
2017-06-22T00:00:00Z,28827.0,TO
2017-07-22T00:00:00Z,28827.0,TO
2017-08-22T00:00:00Z,28828.0,TO
2017-09-22T00:00:00Z,28828.0,TO
2017-10-22T00:00:00Z,29172.0,TO
2017-11-22T00:00:00Z,29716.0,TO
2017-12-22T00:00:00Z,30098.0,TO
2018-01-22T00:00:00Z,30103.0,TO
2018-02-22T00:00:00Z,35016.0,TO
2018-03-22T00:00:00Z,38550.0,TO
2018-04-22T00:00:00Z,38550.0,TO
2018-05-22T00:00:00Z,38554.0,TO
2018-06-22T00:00:00Z,38554.0,TO
2018-07-22T00:00:00Z,38554.0,TO
2018-08-22T00:00:00Z,38554.0,TO
2018-09-22T00:00:00Z,38571.0,TO
2018-10-22T00:00:00Z,38571.0,TO
2018-11-22T00:00:00Z,38570.0,TO
2018-12-22T00:00:00Z,38570.0,TO
2019-01-22T00:00:00Z,38716.0,TO
2019-02-22T00:00:00Z,38716.0,TO
2019-03-22T00:00:00Z,38719.0,TO
2019-04-22T00:00:00Z,38833.0,TO
2019-05-22T00:00:00Z,38837.0,TO
2019-06-22T00:00:00Z,38838.0,TO
2019-07-22T00:00:00Z,38841.0,TO
2019-08-22T00:00:00Z,38840.0,TO
2019-09-22T00:00:00Z,38840.0,TO
2019-10-22T00:00:00Z,38840.0,TO
2019-11-22T00:00:00Z,38840.0,TO
2019-12-22T00:00:00Z,38837.0,TO
2020-01-22T00:00:00Z,38835.0,TO
2020-02-22T00:00:00Z,38942.0,TO
2020-03-22T00:00:00Z,38942.0,TO
2020-04-22T00:00:00Z,38943.0,TO
2020-05-22T00:00:00Z,38965.0,TO
2020-06-22T00:00:00Z,38962.0,TO
2020-07-22T00:00:00Z,38964.0,TO
2020-08-22T00:00:00Z,38959.0,TO
2020-09-22T00:00:00Z,38958.0,TO
2020-10-22T00:00:00Z,38945.0,TO
2020-11-22T00:00:00Z,38961.0,TO
2020-12-22T00:00:00Z,38961.0,TO
2021-01-22T00:00:00Z,38961.0,TO
2021-02-22T00:00:00Z,38961.0,TO
2021-03-22T00:00:00Z,38961.0,TO
2021-04-22T00:00:00Z,38961.0,TO
2021-05-22T00:00:00Z,38961.0,TO
2021-06-22T00:00:00Z,38961.0,TO
2021-07-22T00:00:00Z,38962.0,TO
2021-08-22T00:00:00Z,38962.0,TO
2021-09-22T00:00:00Z,38958.0,TO
2021-10-22T00:00:00Z,38957.0,TO
2021-11-22T00:00:00Z,38957.0,TO
2021-12-22T00:00:00Z,38979.0,TO
2022-01-22T00:00:00Z,39143.0,TO
2022-02-22T00:00:00Z,39327.0,TO
2022-03-22T00:00:00Z,39331.0,TO
