event_type,event_percentage,bbox,road_completeness,building_completeness,current_density
remote_event,85.8040912416886,"31.640625,1.7578125,31.9921875,1.93359375",1,1,938.9
remote_event,91.1898703536673,"31.9921875,1.7578125,32.34375,1.93359375",1,1,2368.57
remote_event,97.2167708112162,"26.71875,8.4375,27.421875,8.7890625",1,1,402.01
remote_event,94.8828018073757,"27.421875,8.4375,28.125,8.7890625",1,1,552.68
remote_event,99.161764915251,"27.421875,8.96484375,27.7734375,9.140625",1,1,1983.0
remote_event,82.575043413545,"79.8046875,7.55859375,80.15625,7.734375",1,1,13698.42
remote_event,90.0450041786402,"80.33203125,16.259765625,80.5078125,16.34765625",1,1,50841.12
remote_event,85.1390130677359,"88.330078125,22.4560546875,88.41796875,22.5",1,1,181144.1
remote_event,86.7077470148754,"88.41796875,22.587890625,88.59375,22.67578125",0,1,43882.03
remote_event,92.7609946320679,"89.296875,22.939453125,89.47265625,23.02734375",1,1,24524.14
remote_event,90.5617666592871,"89.12109375,23.291015625,89.296875,23.37890625",0,1,5640.36
remote_event,93.3792608364026,"88.41796875,24.345703125,88.59375,24.43359375",0,1,22193.68
remote_event,90.8716340147266,"88.59375,24.345703125,88.76953125,24.43359375",1,1,43365.28
remote_event,82.6564299963473,"85.4296875,27.421875,85.78125,27.59765625",0,1,5681.44
remote_event,88.8154773750423,"85.4296875,27.7734375,85.78125,27.94921875",1,1,5167.96
remote_event,83.5421269382834,"94.921875,17.2265625,95.625,17.578125",1,1,4505.48
remote_event,80.0704447234644,"91.40625,22.32421875,91.7578125,22.5",1,1,3534.8
remote_event,87.4199288835101,"121.11328125,13.798828125,121.2890625,13.88671875",1,1,26013.96
remote_event,88.3431450407204,"121.640625,17.9296875,122.34375,18.28125",1,1,1592.76
remote_event,85.6312668003584,"120.9375,18.28125,121.640625,18.6328125",1,1,1851.35
remote_event,91.4076673508574,"90.17578125,23.818359375,90.3515625,23.90625",1,1,54898.09
remote_event,83.9356676793703,"90.439453125,23.5986328125,90.52734375,23.642578125",0,1,184562.85
remote_event,87.1963861425711,"90.439453125,23.6865234375,90.52734375,23.73046875",1,1,211986.8
early_import,89.7628199716129,"-67.5,-67.5,-45.0,-56.25",0,1,0.05
early_import,83.1100780080371,"90.3515625,24.7412109375,90.439453125,24.78515625",0,1,88617.1
early_import,80.1463067787526,"-51.328125,-30.234375,-51.15234375,-30.146484375",0,1,20166.42
early_import,80.9669197396963,"-51.15234375,-30.234375,-50.9765625,-30.146484375",0,1,16238.66
early_import,88.4429463926638,"-46.845703125,-23.73046875,-46.7578125,-23.6865234375",1,1,77044.21
early_import,82.2530651586584,"-46.669921875,-23.5986328125,-46.58203125,-23.5546875",0,1,406921.33
early_import,82.2277491929759,"-46.58203125,-23.5986328125,-46.494140625,-23.5546875",0,1,434166.78
early_import,91.8912621264468,"-46.494140625,-23.5986328125,-46.40625,-23.5546875",1,1,169776.05
early_import,81.7851398376384,"-46.7578125,-23.5546875,-46.669921875,-23.5107421875",0,1,288146.35
early_import,93.0387613176748,"-46.494140625,-23.5546875,-46.40625,-23.5107421875",1,1,356560.22
early_import,95.6875098440699,"-46.4501953125,-23.5107421875,-46.40625,-23.48876953125",1,1,401184.41
early_import,83.1075213212177,"-46.40625,-23.5546875,-46.318359375,-23.5107421875",1,1,83308.48
early_import,81.0864685468767,"137.021484375,35.2880859375,137.109375,35.33203125",1,1,38636.18
early_import,82.2883391096833,"138.33984375,34.98046875,138.427734375,35.0244140625",1,1,156593.33
early_import,85.5136371809031,"143.0859375,42.890625,143.26171875,42.978515625",1,1,83746.61
early_import,85.6679434416281,"-137.8125,60.46875,-135.0,61.875",1,1,69.23
early_import,87.2770736328381,"-140.625,64.6875,-135.0,67.5",1,1,0.07
early_import,83.3534057686433,"-123.75,53.4375,-120.9375,54.84375",0,1,250.65
early_import,92.4832093300358,"-123.75,54.84375,-120.9375,56.25",1,1,45.2
early_import,87.3124231502178,"-118.125,60.46875,-115.3125,61.875",1,1,18.26
early_import,83.6681154723726,"-109.6875,52.03125,-106.875,53.4375",1,1,73.44
early_import,87.8895550796027,"-109.6875,53.4375,-106.875,54.84375",1,1,42.89
early_import,88.3209804520017,"-99.84375,49.921875,-98.4375,50.625",1,1,433.41
early_import,89.0932198481694,"-101.25,50.625,-98.4375,52.03125",1,1,121.74
early_import,83.0183325444554,"-101.25,54.84375,-98.4375,56.25",1,1,8.69
early_import,86.4863397633369,"-98.4375,54.84375,-95.625,56.25",0,1,26.54
early_import,94.5184823948497,"-95.625,57.65625,-92.8125,59.0625",0,1,7.28
early_import,80.7498289929409,"-80.5078125,25.6640625,-80.33203125,25.751953125",0,1,130676.4
early_import,85.3351115363084,"-87.802734375,41.923828125,-87.71484375,41.9677734375",1,1,276469.57
early_import,80.113882697446,"-73.828125,40.6494140625,-73.740234375,40.693359375",0,1,171444.6
early_import,80.3395459271559,"-89.296875,48.33984375,-88.9453125,48.515625",1,1,14453.28
early_import,83.32175202926,"-84.375,49.21875,-81.5625,50.625",1,1,40.39
early_import,82.0625056075604,"-81.5625,47.8125,-78.75,49.21875",1,1,165.13
early_import,80.4070698640591,"-81.5625,49.21875,-78.75,50.625",1,1,2.45
early_import,88.6313368661425,"-59.0625,46.40625,-56.25,47.8125",0,1,5.84
early_import,95.9922220258087,"-57.65625,49.921875,-56.25,50.625",1,1,6.2
early_import,98.4146493653249,"-67.5,53.4375,-64.6875,54.84375",1,1,3.39
early_import,97.5419633940039,"-64.6875,53.4375,-61.875,54.84375",1,1,3.19
early_import,97.1594571110498,"-61.875,52.03125,-59.0625,53.4375",1,1,25.05
early_import,98.0929676957218,"-61.875,53.4375,-59.0625,54.84375",0,1,5.1
early_import,94.3346221328506,"-56.25,47.8125,-54.84375,48.515625",1,1,25.86
early_import,82.3781723780493,"-56.25,50.625,-50.625,53.4375",1,1,2.58
early_import,85.0397486406353,"14.0625,-17.578125,15.46875,-16.875",0,1,151.38
early_import,83.4283934515582,"110.21484375,-7.470703125,110.390625,-7.3828125",1,1,22165.78
early_import,83.4981757652592,"112.32421875,-7.20703125,112.5,-7.119140625",1,1,19475.12
early_import,89.1854341012633,"113.5546875,-8.26171875,113.73046875,-8.173828125",1,1,28679.51
early_import,86.898719246311,"113.5546875,-8.173828125,113.73046875,-8.0859375",0,1,18683.75
