event_type,event_percentage,bbox,road_completeness,building_completeness,current_density
remote_event,92.6507804447976,"89.12109375,22.8515625,89.296875,22.939453125",0,0,3169.28
remote_event,98.6429986063228,"89.296875,22.8515625,89.47265625,22.939453125",0,0,1083.73
remote_event,90.5617666592871,"89.12109375,23.291015625,89.296875,23.37890625",0,1,2197.38
remote_event,93.3792608364026,"88.41796875,24.345703125,88.59375,24.43359375",0,1,2509.43
remote_event,82.6564299963473,"85.4296875,27.421875,85.78125,27.59765625",0,1,3844.16
remote_event,83.9356676793703,"90.439453125,23.5986328125,90.52734375,23.642578125",0,1,8080.73
early_import,89.7628199716129,"-67.5,-67.5,-45.0,-56.25",0,1,0.05
early_import,83.1100780080371,"90.3515625,24.7412109375,90.439453125,24.78515625",0,1,6217.24
early_import,80.1463067787526,"-51.328125,-30.234375,-51.15234375,-30.146484375",0,1,2386.35
early_import,80.9669197396963,"-51.15234375,-30.234375,-50.9765625,-30.146484375",0,1,3163.0
early_import,86.4991806482571,"-46.845703125,-23.6865234375,-46.7578125,-23.642578125",0,0,16740.25
early_import,82.2530651586584,"-46.669921875,-23.5986328125,-46.58203125,-23.5546875",0,1,25517.05
early_import,82.2277491929759,"-46.58203125,-23.5986328125,-46.494140625,-23.5546875",0,1,22917.16
early_import,81.7851398376384,"-46.7578125,-23.5546875,-46.669921875,-23.5107421875",0,1,21178.71
early_import,96.1773329578533,"-46.40625,-23.5107421875,-46.3623046875,-23.48876953125",0,0,22129.46
early_import,83.3534057686433,"-123.75,53.4375,-120.9375,54.84375",0,1,270.75
early_import,82.6100066944145,"-126.5625,56.25,-123.75,57.65625",0,0,29.74
early_import,91.5010514931202,"-126.5625,60.46875,-123.75,61.875",0,0,0.73
early_import,86.4863397633369,"-98.4375,54.84375,-95.625,56.25",0,1,70.3
early_import,83.6158263293245,"-95.625,53.4375,-90.0,56.25",0,0,15.28
early_import,99.2767041733124,"-95.625,56.953125,-94.21875,57.65625",0,0,0.0
early_import,99.7511898742304,"-94.21875,57.3046875,-93.515625,57.65625",0,0,0.83
early_import,99.5418955598227,"-93.515625,56.953125,-92.8125,57.3046875",0,0,0.0
early_import,94.5184823948497,"-95.625,57.65625,-92.8125,59.0625",0,1,8.12
early_import,89.4498158519975,"-106.875,68.90625,-104.0625,70.3125",0,0,9.31
early_import,96.5368224404331,"-104.0625,68.90625,-101.25,70.3125",0,0,0.01
